# Archivo de datos de empleados
# Entidad: ACME Seguros S.A.
# Fecha: 01/06/2025
fecha_nacimiento;fecha_alta;empleado_id;nombre;sexo_biologico;codigo_postal;nif;genero;departamento;activo;horas_semanales;bonus
1990-01-15;2020/01/15;1001;Ana García;F;28013;88862218Q;Mujer;Actuarial;Sí;40;5000.0
1985-12-03;2019/12/03;1002;Luis Rodríguez;;41001;17905733A;Hombre;IT;Sí;35h;
1979-09-19;2004/03/01;1003;Fran Garcia;M;29015;;M;Finanzas;Sí;40;
% --- Sede Bilbao ---
1992-07-22;2021/07/22;2001;María López;F;48004;52745245N;;Finanzas;No;40h;3000.0
1988-04-10;2018/04/10;2002;Carlos Martín;M;48001;82167366G;Mujer;Actuarial;Sí;45;
1981-03-11;2018/04/10;2003;Luis González;;48007;1248870G;;IT;Sí;45;6000.0
1995-11-08;2022/11/08;2004;Elena Ruiz;F;15003;28859641T;Mujer;IT;Sí;38;5000.0
1995-11-08;2022/11/08;2004;Elena Ruiz;F;15003;28859641T;Mujer;IT;Sí;35;7000.0
1986-05-08;1922/03/04;2005;Gorka de Miguel;M;46001;11859641K;Hombre;Finanzas;Sí;35;
# Fin del archivo
